Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-2.39972, -3.80456, 688.29970, -9.99790,  3.60780, -0.29764
-1.95533, -3.98151, 690.76040, -9.76266,  3.52851, -0.31515
-1.86645, -3.62760, 689.35427, -9.60583,  3.68709, -0.33266
-2.13309, -3.98151, 690.76040, -9.76266,  3.40957, -0.26263
-2.22197, -3.80456, 689.35427, -9.80186,  3.52851, -0.33266
-2.22197, -3.53912, 689.70583, -9.72345,  3.56815, -0.31515
-1.95533, -3.71608, 691.81496, -9.84107,  3.44922, -0.26263
-1.95533, -3.62760, 689.35427, -9.60583,  3.48886, -0.38519
-2.13309, -3.62760, 690.05727, -9.80186,  3.56815, -0.35017
-2.13309, -3.62760, 690.76040, -9.91949,  3.52851, -0.26263
-2.04421, -3.45065, 688.65114, -9.72345,  3.56815, -0.31515
-2.13309, -3.36217, 688.29970, -9.72345,  3.56815, -0.35017
-1.68869, -3.89304, 689.00271, -9.91949,  3.56815, -0.35017
-2.13309, -3.80456, 689.70583, -9.84107,  3.60780, -0.42020
-1.95533, -3.27369, 687.59658, -9.76266,  3.56815, -0.35017
-2.39972, -3.53912, 689.70583, -9.68424,  3.48886, -0.35017
-1.86645, -3.27369, 687.94814, -9.72345,  3.52851, -0.33266
-2.31084, -3.36217, 690.40883, -9.72345,  3.52851, -0.35017
-2.31084, -3.53912, 688.65114, -9.72345,  3.60780, -0.33266
-2.13309, -3.45065, 689.00271, -9.80186,  3.48886, -0.35017
-2.31084, -3.53912, 688.65114, -9.80186,  3.72674, -0.31515
-2.31084, -3.36217, 689.70583, -9.64504,  3.72674, -0.38519
-2.04421, -3.62760, 689.35427, -9.60583,  3.48886, -0.49024
-2.04421, -3.18521, 689.35427, -9.88028,  3.60780, -0.38519
-2.39972, -3.62760, 688.29970, -9.84107,  3.40957, -0.40270
-2.04421, -3.36217, 689.35427, -9.76266,  3.44922, -0.36768
-2.13309, -3.36217, 688.29970, -9.80186,  3.44922, -0.40270
-2.31084, -3.36217, 688.65114, -9.76266,  3.60780, -0.42020
-2.39972, -3.27369, 689.00271, -9.76266,  3.52851, -0.36768
-1.77757, -2.91978, 689.35427, -9.48821,  3.60780, -0.47273
-2.48860, -3.53912, 688.65114, -9.76266,  3.48886, -0.36768
-2.31084, -3.53912, 688.65114, -9.72345,  3.44922, -0.35017
-2.39972, -3.45065, 686.54201, -9.60583,  3.60780, -0.42020
-2.39972, -3.53912, 687.59658, -9.64504,  3.48886, -0.36768
-2.48860, -3.53912, 688.29970, -9.68424,  3.33028, -0.40270
-2.04421, -3.62760, 689.00271, -9.64504,  3.56815, -0.40270
-2.39972, -3.18521, 689.00271, -9.72345,  3.48886, -0.40270
-2.13309, -3.36217, 688.29970, -9.68424,  3.48886, -0.42020
-2.84412, -3.62760, 687.59658, -9.60583,  3.52851, -0.38519
-2.39972, -3.36217, 687.94814, -9.60583,  3.25098, -0.40270
-2.48860, -3.36217, 687.94814, -9.64504,  3.52851, -0.49024
-2.22197, -3.62760, 689.00271, -9.68424,  3.44922, -0.40270
-2.04421, -3.27369, 685.83889, -9.64504,  3.36992, -0.45522
-2.31084, -3.53912, 686.89357, -9.68424,  3.52851, -0.43771
-2.57748, -3.62760, 688.29970, -9.72345,  3.64745, -0.45522
-2.22197, -3.53912, 687.94814, -9.80186,  3.52851, -0.42020
-2.13309, -3.62760, 688.29970, -9.60583,  3.52851, -0.49024
-2.48860, -3.62760, 686.89357, -9.60583,  3.33028, -0.42020
-2.31084, -3.71608, 688.29970, -9.64504,  3.52851, -0.36768
-2.48860, -3.53912, 687.94814, -9.64504,  3.40957, -0.49024
-2.04421, -3.45065, 687.24502, -9.64504,  3.56815, -0.36768
-2.48860, -3.80456, 688.29970, -9.80186,  3.33028, -0.49024
-2.31084, -3.62760, 687.24502, -9.84107,  3.52851, -0.47273
-2.39972, -3.53912, 686.89357, -9.80186,  3.64745, -0.50775
-2.39972, -3.53912, 687.24502, -9.72345,  3.33028, -0.49024
-2.57748, -3.80456, 686.54201, -9.88028,  3.44922, -0.45522
-2.22197, -3.80456, 687.94814, -9.72345,  3.52851, -0.47273
-2.31084, -3.09673, 686.54201, -9.64504,  3.44922, -0.40270
-2.31084, -3.98151, 686.19045, -9.72345,  3.60780, -0.47273
-2.13309, -3.98151, 687.94814, -9.80186,  3.60780, -0.47273
-2.66636, -3.89304, 687.94814, -9.64504,  3.48886, -0.38519
-2.22197, -3.80456, 686.89357, -9.72345,  3.48886, -0.47273
-2.57748, -3.80456, 687.24502, -9.76266,  3.44922, -0.49024
-2.39972, -3.98151, 687.59658, -9.91949,  3.64745, -0.43771
-2.48860, -4.24695, 687.24502, -9.80186,  3.60780, -0.40270
-2.31084, -4.33543, 687.24502, -10.03711,  3.48886, -0.45522
-2.48860, -4.33543, 687.94814, -9.56662,  3.52851, -0.40270
-2.39972, -4.24695, 687.94814, -9.80186,  3.52851, -0.50775
-2.48860, -3.89304, 686.89357, -9.91949,  3.40957, -0.47273
-2.13309, -4.15847, 687.24502, -9.76266,  3.52851, -0.50775
-2.39972, -4.24695, 687.24502, -9.80186,  3.60780, -0.45522
-2.22197, -4.24695, 688.65114, -9.84107,  3.40957, -0.42020
-2.57748, -3.98151, 687.94814, -9.80186,  3.48886, -0.50775
-2.22197, -4.42390, 686.54201, -9.88028,  3.52851, -0.47273
-2.57748, -4.06999, 687.94814, -9.76266,  3.44922, -0.50775
-2.48860, -4.15847, 689.70583, -9.80186,  3.72674, -0.52526
-2.66636, -4.42390, 688.29970, -9.84107,  3.56815, -0.45522
-2.57748, -4.60086, 689.70583, -9.91949,  3.56815, -0.49024
-2.84412, -4.51238, 687.94814, -9.91949,  3.52851, -0.50775
-2.66636, -4.24695, 689.00271, -9.80186,  3.64745, -0.49024
-2.39972, -4.42390, 689.70583, -9.91949,  3.52851, -0.43771
-2.31084, -4.24695, 689.00271, -9.91949,  3.60780, -0.35017
-2.66636, -4.15847, 687.59658, -9.84107,  3.56815, -0.50775
-2.57748, -4.15847, 687.94814, -9.95869,  3.52851, -0.42020
-2.75524, -3.98151, 688.65114, -9.72345,  3.52851, -0.50775
-2.31084, -4.60086, 689.70583, -10.07632,  3.56815, -0.47273
-2.22197, -4.42390, 689.35427, -9.99790,  3.68709, -0.43771
-2.39972, -4.51238, 687.94814, -10.03711,  3.68709, -0.47273
-2.39972, -4.68934, 690.05727, -9.95869,  3.56815, -0.49024
-2.31084, -3.98151, 688.65114, -9.84107,  3.76638, -0.50775
-2.93299, -3.98151, 689.35427, -9.91949,  3.56815, -0.49024
-2.57748, -4.77782, 687.94814, -10.03711,  3.52851, -0.50775
-2.22197, -4.77782, 689.00271, -9.91949,  3.60780, -0.52526
-2.48860, -4.42390, 689.00271, -10.07632,  3.60780, -0.43771
-2.31084, -4.42390, 688.29970, -10.23315,  3.60780, -0.49024
-2.13309, -4.60086, 688.29970, -10.03711,  3.64745, -0.43771
-2.66636, -4.60086, 689.35427, -10.07632,  3.72674, -0.47273
-2.39972, -4.42390, 689.70583, -9.91949,  3.48886, -0.52526
-2.66636, -4.51238, 691.11196, -10.23315,  3.68709, -0.45522
-2.31084, -4.24695, 690.05727, -10.07632,  3.72674, -0.45522
-2.66636, -4.68934, 690.05727, -10.07632,  3.60780, -0.42020
-2.66636, -4.68934, 691.11196, -9.99790,  3.52851, -0.50775
-2.13309, -4.06999, 690.40883, -9.95869,  3.56815, -0.43771
-2.31084, -4.51238, 690.05727, -9.99790,  3.72674, -0.50775
-2.31084, -4.60086, 691.81496, -10.11552,  3.68709, -0.45522
-2.39972, -4.77782, 692.51809, -9.95869,  3.64745, -0.42020
-2.48860, -4.86630, 690.40883, -10.15473,  3.60780, -0.36768
-2.48860, -4.68934, 691.46340, -10.38998,  3.64745, -0.45522
-2.31084, -4.51238, 691.46340, -10.11552,  3.76638, -0.47273
-2.22197, -4.51238, 691.46340, -10.07632,  3.84568, -0.49024
-2.39972, -4.51238, 691.46340, -10.03711,  3.80603, -0.49024
-2.48860, -4.24695, 692.16652, -10.15473,  3.60780, -0.43771
-2.39972, -4.24695, 691.46340, -10.23315,  3.76638, -0.38519
-2.75524, -4.42390, 691.11196, -10.07632,  3.52851, -0.40270
-2.48860, -4.33543, 691.46340, -10.19394,  3.68709, -0.42020
-2.22197, -4.51238, 689.70583, -10.03711,  3.72674, -0.47273
-2.39972, -4.60086, 692.16652, -10.11552,  3.64745, -0.50775
-2.66636, -4.51238, 691.46340, -10.19394,  3.68709, -0.36768
-2.13309, -4.51238, 692.51809, -10.27235,  3.52851, -0.43771
-2.57748, -4.68934, 692.86953, -10.23315,  3.72674, -0.43771
-2.57748, -4.68934, 691.81496, -10.15473,  3.80603, -0.40270
-2.57748, -4.86630, 690.05727, -10.31156,  3.76638, -0.42020
-2.04421, -4.86630, 692.51809, -10.11552,  3.72674, -0.40270
-2.57748, -4.95477, 692.16652, -10.27235,  3.64745, -0.43771
-2.31084, -4.42390, 692.16652, -10.31156,  3.60780, -0.49024
-2.39972, -4.60086, 691.11196, -10.11552,  3.80603, -0.40270
-2.48860, -4.51238, 691.81496, -10.15473,  3.68709, -0.33266
-2.39972, -4.42390, 692.16652, -10.35077,  3.64745, -0.40270
-2.66636, -4.24695, 693.22109, -10.35077,  3.64745, -0.45522
-2.13309, -4.86630, 691.46340, -10.23315,  3.68709, -0.33266
-2.31084, -4.42390, 690.76040, -10.35077,  3.64745, -0.31515
-2.22197, -4.42390, 690.05727, -10.23315,  3.56815, -0.36768
-2.04421, -4.24695, 692.51809, -10.23315,  3.56815, -0.45522
-2.48860, -4.15847, 692.16652, -10.15473,  3.64745, -0.33266
-2.31084, -4.15847, 691.81496, -10.31156,  3.56815, -0.40270
-2.31084, -4.33543, 691.11196, -10.23315,  3.68709, -0.29764
-2.22197, -4.33543, 692.51809, -10.42918,  3.64745, -0.28014
-2.04421, -4.15847, 691.46340, -10.35077,  3.60780, -0.38519
-2.13309, -4.24695, 690.76040, -10.38998,  3.76638, -0.35017
-2.04421, -4.15847, 692.16652, -10.15473,  3.72674, -0.31515
-2.31084, -4.60086, 692.51809, -10.15473,  3.52851, -0.38519
-2.22197, -4.24695, 691.81496, -10.15473,  3.52851, -0.40270
-2.31084, -4.06999, 692.16652, -10.42918,  3.48886, -0.31515
-2.31084, -3.89304, 693.22109, -10.19394,  3.64745, -0.36768
-2.04421, -4.42390, 692.86953, -10.27235,  3.68709, -0.38519
-2.04421, -4.15847, 692.16652, -10.35077,  3.40957, -0.31515
-1.95533, -4.24695, 691.46340, -10.11552,  3.68709, -0.42020
-1.86645, -4.51238, 691.81496, -10.19394,  3.60780, -0.38519
-2.39972, -4.24695, 691.81496, -10.11552,  3.56815, -0.36768
-1.86645, -4.06999, 691.46340, -9.99790,  3.60780, -0.31515
-1.95533, -4.06999, 690.05727, -10.11552,  3.33028, -0.35017
-2.31084, -3.80456, 692.16652, -10.03711,  3.64745, -0.33266
-1.95533, -3.89304, 691.81496, -10.07632,  3.64745, -0.43771
-1.77757, -4.15847, 692.51809, -10.11552,  3.64745, -0.33266
-1.77757, -4.24695, 690.76040, -10.03711,  3.64745, -0.28014
-1.95533, -3.89304, 691.46340, -10.03711,  3.72674, -0.29764
-1.95533, -4.06999, 691.11196, -10.07632,  3.52851, -0.33266
-2.04421, -4.06999, 690.05727, -10.11552,  3.76638, -0.33266
-2.48860, -4.51238, 692.16652, -10.07632,  3.52851, -0.29764
-2.39972, -4.06999, 692.16652, -10.15473,  3.60780, -0.35017
-1.68869, -4.06999, 692.16652, -10.03711,  3.60780, -0.36768
-2.13309, -4.15847, 690.76040, -10.19394,  3.56815, -0.38519
-1.77757, -3.80456, 691.11196, -9.91949,  3.52851, -0.31515
-2.13309, -3.89304, 690.40883, -10.15473,  3.56815, -0.33266
-1.77757, -3.98151, 690.76040, -9.84107,  3.64745, -0.36768
