Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-1.59982, -2.65434, 689.70583, -4.78331,  6.02621, -0.50775
-1.59982, -3.00826, 687.24502, -4.66569,  5.94692, -0.49024
-2.04421, -3.00826, 687.24502, -4.74410,  6.02621, -0.50775
-1.86645, -3.18521, 689.70583, -4.86173,  6.06586, -0.52526
-1.51094, -3.00826, 686.89357, -4.82252,  6.02621, -0.54276
-2.04421, -2.65434, 686.19045, -4.86173,  6.02621, -0.50775
-1.68869, -3.27369, 689.00271, -4.78331,  6.02621, -0.52526
-1.95533, -2.65434, 687.94814, -4.70490,  6.06586, -0.43771
-2.04421, -2.83130, 689.70583, -4.90093,  6.10551, -0.38519
-1.42206, -3.09673, 686.89357, -4.86173,  6.10551, -0.49024
-1.68869, -2.65434, 687.59658, -4.97935,  6.38303, -0.49024
-1.68869, -2.56586, 689.00271, -4.74410,  6.18480, -0.49024
-1.68869, -3.00826, 687.24502, -4.97935,  6.38303, -0.47273
-1.77757, -2.74282, 687.59658, -4.94014,  6.38303, -0.47273
-1.86645, -2.38891, 689.70583, -5.01855,  6.18480, -0.52526
-1.77757, -2.83130, 687.94814, -5.13618,  6.22445, -0.43771
-1.95533, -2.56586, 687.94814, -4.97935,  6.26409, -0.45522
-1.68869, -2.74282, 687.59658, -5.21459,  6.30374, -0.47273
-1.95533, -2.83130, 689.35427, -5.05776,  6.34338, -0.43771
-2.39972, -2.91978, 689.00271, -5.05776,  6.46232, -0.50775
-1.68869, -2.65434, 688.29970, -4.97935,  6.46232, -0.42020
-2.04421, -2.30043, 688.65114, -5.13618,  6.30374, -0.47273
-1.86645, -2.03500, 689.00271, -5.17538,  6.26409, -0.45522
-2.31084, -2.38891, 688.29970, -5.13618,  6.34338, -0.45522
-2.13309, -2.83130, 687.59658, -5.09697,  6.38303, -0.45522
-1.86645, -2.30043, 689.35427, -5.41063,  6.50197, -0.43771
-2.04421, -2.47739, 689.70583, -5.33221,  6.54161, -0.45522
-2.13309, -2.56586, 689.70583, -5.44984,  6.54161, -0.42020
-2.22197, -3.18521, 687.59658, -5.37142,  6.50197, -0.42020
-2.22197, -2.74282, 689.70583, -5.37142,  6.66055, -0.49024
-2.22197, -2.74282, 690.76040, -5.44984,  6.58126, -0.42020
-2.22197, -2.91978, 690.05727, -5.25380,  6.54161, -0.49024
-2.13309, -2.65434, 689.35427, -5.44984,  6.62091, -0.36768
-2.22197, -2.47739, 689.70583, -5.48904,  6.70020, -0.43771
-2.22197, -2.56586, 689.70583, -5.44984,  6.62091, -0.50775
-2.22197, -2.83130, 690.05727, -5.33221,  6.77949, -0.52526
-2.48860, -2.74282, 690.05727, -5.64587,  6.77949, -0.42020
-2.13309, -3.00826, 689.70583, -5.64587,  6.89843, -0.35017
-2.04421, -2.83130, 690.40883, -5.37142,  6.77949, -0.38519
-2.22197, -3.00826, 689.00271, -5.52825,  6.62091, -0.47273
