Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-1.06654, -0.88478, 695.68178, 19.68214,  0.51540, -0.52526
-1.06654, -1.06174, 694.62722, 19.60373,  0.55505, -0.57778
-1.15542, -1.41565, 693.57265, 19.60373,  0.63434, -0.52526
-1.15542, -1.41565, 693.92421, 19.72135,  0.51540, -0.40270
-1.24430, -1.68108, 694.62722, 19.64294,  0.63434, -0.43771
-1.15542, -1.59261, 694.62722, 19.60373,  0.47575, -0.47273
-0.79991, -1.41565, 693.92421, 19.64294,  0.51540, -0.47273
-0.88879, -1.41565, 693.57265, 19.64294,  0.35682, -0.52526
-1.15542, -1.32717, 695.33034, 19.68214,  0.47575, -0.52526
-1.06654, -1.23869, 694.97878, 19.64294,  0.67398, -0.49024
-0.97766, -1.41565, 694.62722, 19.64294,  0.39646, -0.43771
-0.53327, -1.50413, 694.27566, 19.83897,  0.67398, -0.49024
-0.53327, -1.41565, 693.57265, 19.76056,  0.59469, -0.50775
-0.71103, -1.68108, 693.92421, 19.68214,  0.55505, -0.43771
-0.62215, -1.15022, 693.92421, 19.83897,  0.51540, -0.47273
-0.53327, -1.59261, 693.92421, 19.87818,  0.67398, -0.45522
-0.26664, -1.94652, 693.57265, 19.79977,  0.59469, -0.49024
-0.53327, -1.68108, 693.57265, 19.79977,  0.55505, -0.50775
-1.06654, -1.41565, 695.33034, 19.72135,  0.55505, -0.63031
-0.26664, -1.23869, 695.33034, 19.91739,  0.55505, -0.43771
-0.62215, -2.30043, 694.97878, 19.79977,  0.71363, -0.43771
-0.53327, -1.15022, 693.22109, 19.83897,  0.55505, -0.49024
-0.35551, -1.41565, 693.92421, 19.95660,  0.51540, -0.49024
-0.35551, -1.50413, 694.97878, 19.95660,  0.39646, -0.50775
-0.53327, -1.32717, 693.22109, 19.79977,  0.71363, -0.45522
-0.62215, -1.68108, 693.57265, 20.03501,  0.83257, -0.47273
-0.71103, -1.85804, 692.16652, 20.11343,  0.55505, -0.45522
-0.62215, -1.32717, 693.92421, 19.95660,  0.63434, -0.45522
-0.35551, -1.85804, 694.27566, 20.23105,  0.71363, -0.45522
-0.26664, -1.50413, 695.68178, 20.23105,  0.71363, -0.50775
-0.26664, -1.15022, 693.92421, 20.19184,  0.79292, -0.45522
-0.53327, -1.50413, 693.22109, 20.27026,  0.59469, -0.49024
-0.26664, -1.23869, 694.62722, 20.15263,  0.59469, -0.52526
-0.44439, -1.06174, 693.57265, 20.07422,  0.67398, -0.50775
 0.00000, -1.32717, 692.86953, 20.19184,  0.63434, -0.49024
-0.53327, -0.70782, 693.22109, 20.34867,  0.51540, -0.49024
-0.35551, -1.23869, 694.62722, 20.27026,  0.67398, -0.52526
-0.44439, -1.41565, 692.86953, 20.46629,  0.67398, -0.54276
-0.62215, -1.32717, 692.86953, 20.42709,  0.67398, -0.56027
-0.62215, -1.15022, 693.92421, 20.54471,  0.55505, -0.49024
-0.88879, -0.70782, 694.62722, 20.23105,  0.87222, -0.52526
-0.53327, -0.97326, 693.22109, 20.54471,  0.67398, -0.52526
 0.00000, -0.61935, 693.57265, 20.42709,  0.63434, -0.54276
-0.44439, -0.70782, 693.22109, 20.54471,  0.75328, -0.54276
-0.79991, -0.35391, 693.22109, 20.54471,  0.55505, -0.52526
-0.71103, -0.79630, 692.51809, 20.58392,  0.67398, -0.52526
-0.62215, -0.79630, 693.22109, 20.66233,  0.83257, -0.57778
-0.53327, -0.61935, 691.81496, 20.77995,  0.79292, -0.54276
-0.44439, -0.44239, 692.51809, 20.74075,  0.83257, -0.56027
-0.17776, -0.44239, 692.86953, 20.70154,  0.67398, -0.66532
 0.00000,  0.08848, 689.70583, 20.81916,  0.59469, -0.56027
-0.71103, -0.53087, 691.11196, 20.62312,  0.71363, -0.56027
-0.88879, -0.53087, 690.76040, 20.85837,  0.51540, -0.56027
-0.71103,  0.08848, 691.11196, 20.97599,  0.75328, -0.59529
-0.79991,  0.08848, 690.76040, 20.93678,  0.71363, -0.52526
-0.44439,  0.17696, 691.46340, 20.74075,  0.75328, -0.64781
-0.62215, -0.26543, 690.40883, 20.81916,  0.67398, -0.59529
-0.62215,  0.08848, 689.70583, 20.81916,  0.71363, -0.57778
-0.97766, -0.08848, 692.16652, 20.97599,  0.87222, -0.57778
-0.62215, -0.17696, 690.76040, 20.81916,  0.71363, -0.54276
-0.97766, -0.26543, 689.35427, 20.97599,  0.59469, -0.59529
-0.88879,  0.35391, 689.70583, 20.93678,  0.67398, -0.56027
