Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 2.93299, -1.85804, 690.05727, -0.50970, -5.51081, -0.70034
 2.66636, -1.59261, 689.70583, -0.31366, -5.51081, -0.66532
 2.57748, -1.94652, 691.46340, -0.50970, -5.39188, -0.64781
 2.39972, -1.68108, 688.29970, -0.50970, -5.59011, -0.64781
 2.22197, -1.94652, 689.35427, -0.35287, -5.59011, -0.66532
 2.04421, -1.94652, 690.40883, -0.39207, -5.55046, -0.63031
 2.48860, -1.68108, 690.76040, -0.43128, -5.47117, -0.57778
 2.22197, -1.85804, 692.16652, -0.43128, -5.62975, -0.66532
 2.13309, -1.68108, 689.70583, -0.39207, -5.59011, -0.59529
 2.39972, -1.59261, 690.05727, -0.62732, -5.51081, -0.70034
 1.95533, -1.68108, 690.05727, -0.47049, -5.47117, -0.68283
 2.22197, -1.32717, 690.40883, -0.58811, -5.74869, -0.75287
 1.95533, -1.94652, 691.81496, -0.35287, -5.70905, -0.68283
 2.13309, -1.68108, 690.05727, -0.39207, -5.62975, -0.66532
 1.77757, -1.59261, 691.81496, -0.47049, -5.78834, -0.75287
 2.57748, -1.85804, 690.76040, -0.47049, -5.66940, -0.57778
 1.68869, -1.76956, 692.51809, -0.58811, -5.55046, -0.73536
 2.22197, -1.68108, 689.70583, -0.43128, -5.62975, -0.70034
 2.04421, -1.76956, 689.70583, -0.50970, -5.74869, -0.71785
 1.68869, -1.76956, 691.81496, -0.62732, -5.86763, -0.70034
 2.04421, -1.76956, 690.40883, -0.31366, -5.82798, -0.70034
 2.39972, -2.21195, 690.76040, -0.27445, -5.78834, -0.71785
 2.04421, -1.85804, 690.76040, -0.47049, -5.59011, -0.70034
 1.95533, -1.68108, 692.51809, -0.58811, -5.59011, -0.64781
 2.04421, -0.97326, 692.51809, -0.47049, -5.82798, -0.66532
 1.95533, -2.03500, 691.46340, -0.39207, -5.74869, -0.66532
 2.13309, -2.03500, 692.16652, -0.39207, -5.82798, -0.71785
 2.04421, -1.50413, 691.81496, -0.58811, -5.59011, -0.68283
 2.13309, -1.50413, 690.40883, -0.27445, -5.78834, -0.71785
 1.95533, -1.41565, 690.05727, -0.39207, -5.78834, -0.77037
 2.22197, -2.12347, 692.86953, -0.31366, -5.70905, -0.70034
 2.66636, -1.68108, 692.51809, -0.31366, -5.66940, -0.73536
 2.13309, -1.32717, 690.40883, -0.50970, -5.82798, -0.75287
 2.57748, -1.41565, 693.22109, -0.15683, -5.66940, -0.70034
 2.13309, -1.59261, 692.86953, -0.11762, -5.90728, -0.78788
 2.22197, -1.32717, 691.81496, -0.31366, -5.82798, -0.68283
 2.31084, -1.68108, 690.76040, -0.11762, -5.70905, -0.77037
 2.48860, -1.41565, 693.57265, -0.23524, -5.70905, -0.78788
 2.57748, -1.32717, 692.86953, -0.07841, -5.86763, -0.73536
 2.75524, -1.15022, 691.81496, -0.27445, -5.74869, -0.77037
 2.31084, -1.15022, 691.11196, -0.15683, -5.70905, -0.78788
 2.39972, -1.15022, 692.86953, -0.15683, -5.86763, -0.80539
 2.57748, -1.32717, 690.40883, -0.07841, -5.66940, -0.68283
 2.66636, -1.06174, 692.86953, -0.19604, -5.86763, -0.71785
 2.57748, -1.23869, 690.76040, -0.15683, -5.74869, -0.75287
 2.48860, -1.23869, 691.81496,  0.07841, -5.59011, -0.73536
 2.57748, -1.06174, 692.86953,  0.03921, -5.59011, -0.64781
 2.75524, -1.41565, 690.76040, -0.03921, -5.70905, -0.77037
 2.84412, -1.32717, 690.40883, -0.07841, -5.74869, -0.77037
 2.93299, -0.97326, 690.40883,  0.00000, -5.82798, -0.71785
 3.02187, -0.97326, 691.46340, -0.23524, -5.66940, -0.70034
 2.66636, -1.32717, 691.11196,  0.11762, -5.62975, -0.71785
 2.93299, -1.23869, 692.16652,  0.07841, -5.70905, -0.64781
 2.75524, -0.97326, 691.11196,  0.03921, -5.59011, -0.63031
 2.93299, -0.88478, 691.46340, -0.11762, -5.59011, -0.68283
 3.37739, -0.88478, 691.46340,  0.03921, -5.62975, -0.68283
 3.11075, -1.23869, 691.11196,  0.11762, -5.55046, -0.70034
 2.84412, -1.15022, 690.40883,  0.15683, -5.62975, -0.70034
 3.11075, -1.32717, 691.46340, -0.03921, -5.62975, -0.64781
 2.93299, -0.88478, 689.35427,  0.07841, -5.47117, -0.68283
 3.11075, -0.88478, 689.35427, -0.03921, -5.55046, -0.73536
 3.37739, -1.32717, 690.05727,  0.03921, -5.66940, -0.68283
 3.19963, -1.32717, 689.70583,  0.03921, -5.35223, -0.66532
 3.02187, -1.06174, 690.76040,  0.19604, -5.39188, -0.59529
 3.02187, -1.23869, 692.16652,  0.07841, -5.39188, -0.63031
 3.37739, -1.23869, 688.29970, -0.07841, -5.39188, -0.61280
 3.02187, -1.41565, 689.70583,  0.11762, -5.55046, -0.61280
 3.02187, -1.50413, 687.59658,  0.11762, -5.35223, -0.57778
 3.02187, -0.97326, 688.65114,  0.23524, -5.35223, -0.66532
 3.11075, -1.06174, 688.65114, -0.03921, -5.59011, -0.57778
 3.46627, -1.06174, 686.89357,  0.00000, -5.39188, -0.57778
 3.19963, -1.50413, 687.94814,  0.15683, -5.19365, -0.59529
 3.11075, -1.59261, 687.94814,  0.03921, -5.19365, -0.61280
 2.93299, -1.41565, 688.65114,  0.07841, -5.15400, -0.54276
 3.11075, -1.32717, 687.59658, -0.07841, -5.31258, -0.57778
 3.46627, -1.32717, 686.89357, -0.11762, -5.15400, -0.57778
 3.91066, -1.32717, 687.24502, -0.19604, -5.31258, -0.59529
 3.11075, -1.85804, 686.89357, -0.15683, -5.35223, -0.56027
 3.46627, -2.12347, 686.89357, -0.03921, -5.19365, -0.50775
 3.55515, -1.41565, 686.89357, -0.03921, -5.27294, -0.52526
 3.46627, -1.50413, 686.54201, -0.31366, -5.23329, -0.50775
 3.37739, -1.85804, 685.48745, -0.23524, -5.11435, -0.56027
 3.28851, -2.12347, 684.78432, -0.27445, -5.03506, -0.57778
 3.46627, -1.94652, 685.83889, -0.19604, -5.07471, -0.54276
 3.55515, -2.12347, 686.54201, -0.43128, -5.31258, -0.52526
 3.55515, -2.38891, 684.78432, -0.35287, -5.27294, -0.57778
 3.82178, -2.21195, 685.83889, -0.50970, -5.23329, -0.56027
 4.26617, -2.30043, 684.08132, -0.54890, -5.19365, -0.57778
 3.73290, -2.30043, 684.78432, -0.58811, -5.23329, -0.50775
 3.55515, -2.91978, 684.78432, -0.62732, -5.15400, -0.47273
 3.91066, -3.27369, 685.83889, -0.70573, -4.99541, -0.47273
 3.55515, -2.91978, 685.13588, -0.70573, -4.91612, -0.57778
 3.91066, -3.36217, 683.72976, -0.90177, -4.99541, -0.49024
 3.91066, -3.18521, 686.19045, -0.90177, -5.11435, -0.50775
 3.91066, -3.00826, 685.13588, -0.94098, -5.19365, -0.49024
 3.91066, -3.18521, 685.48745, -1.01939, -5.03506, -0.47273
 3.99954, -3.53912, 685.83889, -0.98019, -4.95577, -0.54276
 3.55515, -3.36217, 685.13588, -1.01939, -5.07471, -0.49024
 3.99954, -3.45065, 686.89357, -1.09781, -4.99541, -0.42020
 3.73290, -3.62760, 685.83889, -1.21543, -5.07471, -0.43771
 3.91066, -4.06999, 685.48745, -1.21543, -5.07471, -0.45522
 3.73290, -3.80456, 685.83889, -1.17622, -5.07471, -0.52526
 3.37739, -3.89304, 685.83889, -1.25464, -5.03506, -0.47273
 3.82178, -3.80456, 685.48745, -1.33305, -5.03506, -0.47273
 4.17730, -3.62760, 686.89357, -1.41147, -4.95577, -0.49024
 3.46627, -3.71608, 686.89357, -1.33305, -4.95577, -0.49024
 3.82178, -3.71608, 687.24502, -1.45068, -5.03506, -0.38519
 3.55515, -3.62760, 687.24502, -1.48988, -4.91612, -0.50775
 3.73290, -4.06999, 687.94814, -1.41147, -5.11435, -0.54276
 3.82178, -3.62760, 686.89357, -1.60751, -5.03506, -0.49024
 3.46627, -3.98151, 687.59658, -1.37226, -4.99541, -0.43771
 3.64402, -3.80456, 686.89357, -1.45068, -5.15400, -0.47273
 3.64402, -3.89304, 687.24502, -1.60751, -5.03506, -0.42020
 3.64402, -4.06999, 687.59658, -1.60751, -4.95577, -0.42020
 3.37739, -3.98151, 688.29970, -1.48988, -4.99541, -0.50775
 3.11075, -3.80456, 690.76040, -1.64671, -4.91612, -0.42020
 3.37739, -3.71608, 688.29970, -1.64671, -4.95577, -0.50775
 3.64402, -3.98151, 686.89357, -1.48988, -4.87648, -0.45522
 3.73290, -4.24695, 689.00271, -1.45068, -4.95577, -0.49024
 3.37739, -3.98151, 687.94814, -1.68592, -4.71789, -0.47273
 3.46627, -3.71608, 688.29970, -1.56830, -4.95577, -0.50775
 3.55515, -3.80456, 688.65114, -1.45068, -4.87648, -0.45522
 3.55515, -3.80456, 689.35427, -1.48988, -4.79718, -0.50775
 3.19963, -3.89304, 689.35427, -1.48988, -4.59895, -0.52526
 3.55515, -4.06999, 689.70583, -1.60751, -4.75754, -0.54276
 3.46627, -3.80456, 690.05727, -1.64671, -4.87648, -0.45522
 3.46627, -3.80456, 690.40883, -1.45068, -4.71789, -0.45522
 3.37739, -3.80456, 690.05727, -1.60751, -4.75754, -0.49024
 3.46627, -4.06999, 689.70583, -1.52909, -4.71789, -0.49024
 3.73290, -4.15847, 690.40883, -1.48988, -4.79718, -0.50775
 2.93299, -4.06999, 690.40883, -1.52909, -4.79718, -0.54276
 3.02187, -3.53912, 691.46340, -1.37226, -4.67825, -0.52526
 3.02187, -3.80456, 690.76040, -1.48988, -4.75754, -0.56027
 2.84412, -3.71608, 688.29970, -1.33305, -4.59895, -0.50775
 3.46627, -3.45065, 689.70583, -1.52909, -4.75754, -0.52526
 3.19963, -3.62760, 689.35427, -1.37226, -4.59895, -0.57778
 3.28851, -3.53912, 689.35427, -1.56830, -4.75754, -0.56027
 2.93299, -3.18521, 689.00271, -1.56830, -4.63860, -0.47273
 2.93299, -3.53912, 690.40883, -1.52909, -4.44037, -0.54276
 3.02187, -3.18521, 688.65114, -1.37226, -4.51966, -0.54276
 3.37739, -3.45065, 690.05727, -1.45068, -4.48001, -0.54276
 2.93299, -3.09673, 690.40883, -1.33305, -4.59895, -0.49024
 3.11075, -2.91978, 689.70583, -1.37226, -4.40072, -0.57778
 2.66636, -3.09673, 689.35427, -1.33305, -4.44037, -0.56027
 3.02187, -3.45065, 688.65114, -1.48988, -4.48001, -0.50775
 2.66636, -3.62760, 689.00271, -1.21543, -4.59895, -0.52526
 2.57748, -3.18521, 689.00271, -1.25464, -4.28178, -0.59529
 2.93299, -2.83130, 689.70583, -1.21543, -4.55931, -0.56027
 2.66636, -3.09673, 689.35427, -1.21543, -4.28178, -0.57778
 3.11075, -3.27369, 689.00271, -1.29385, -4.32143, -0.59529
 2.66636, -3.00826, 689.70583, -1.09781, -4.48001, -0.59529
 2.84412, -3.09673, 691.46340, -1.17622, -4.44037, -0.61280
 3.02187, -2.74282, 687.94814, -1.21543, -4.28178, -0.54276
 2.84412, -2.74282, 687.59658, -1.01939, -4.32143, -0.59529
 2.57748, -2.83130, 687.24502, -1.05860, -4.48001, -0.56027
 3.02187, -2.74282, 689.00271, -1.09781, -4.20249, -0.56027
 2.39972, -3.09673, 690.05727, -1.13702, -4.16285, -0.56027
 2.48860, -3.00826, 688.29970, -1.05860, -4.20249, -0.56027
 3.02187, -3.27369, 688.29970, -1.09781, -4.16285, -0.56027
 2.93299, -3.09673, 687.94814, -1.05860, -4.16285, -0.63031
 2.57748, -3.09673, 687.94814, -1.01939, -4.20249, -0.54276
 2.84412, -2.65434, 688.29970, -0.98019, -4.08355, -0.61280
 2.66636, -3.09673, 689.00271, -1.09781, -4.16285, -0.61280
 2.93299, -3.00826, 687.94814, -1.01939, -3.88532, -0.63031
 2.93299, -3.27369, 687.94814, -1.09781, -4.00426, -0.59529
 2.66636, -3.09673, 687.24502, -0.86256, -4.00426, -0.59529
 2.93299, -2.74282, 688.65114, -1.05860, -3.80603, -0.59529
 2.39972, -3.00826, 690.40883, -0.94098, -3.96462, -0.61280
 2.84412, -3.45065, 688.29970, -1.01939, -3.84568, -0.64781
 3.19963, -2.83130, 690.05727, -0.90177, -3.92497, -0.56027
 2.75524, -3.45065, 689.00271, -0.78415, -3.80603, -0.64781
 2.75524, -2.83130, 687.59658, -0.90177, -3.68709, -0.59529
 2.66636, -2.65434, 690.05727, -1.09781, -3.80603, -0.57778
 2.48860, -3.18521, 688.29970, -1.09781, -3.76638, -0.54276
 2.57748, -2.74282, 689.35427, -0.90177, -4.04391, -0.59529
 2.39972, -3.36217, 689.70583, -0.78415, -3.68709, -0.66532
 2.48860, -3.00826, 689.00271, -0.94098, -3.56815, -0.59529
