Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 0.71103, -1.50413, 694.62722, 18.74117, -3.44922, -0.63031
 1.24430, -1.59261, 694.97878, 18.66275, -3.33028, -0.56027
 0.88879, -1.59261, 692.51809, 18.78037, -3.56815, -0.56027
 1.15542, -1.15022, 694.97878, 18.66275, -3.56815, -0.50775
 1.15542, -1.06174, 694.27566, 18.97641, -3.48886, -0.54276
 1.24430, -1.23869, 694.27566, 18.97641, -3.33028, -0.54276
 1.68869, -1.32717, 694.27566, 18.74117, -3.48886, -0.50775
 1.15542, -1.41565, 694.27566, 18.93720, -3.40957, -0.64781
 1.15542, -1.59261, 694.62722, 18.81958, -3.40957, -0.56027
 1.15542, -1.15022, 691.81496, 18.78037, -3.36992, -0.54276
 0.88879, -1.23869, 691.11196, 18.93720, -3.40957, -0.63031
 1.15542, -1.15022, 693.57265, 18.74117, -3.29063, -0.56027
 0.79991, -1.15022, 693.57265, 18.85879, -3.40957, -0.61280
 1.33318, -1.06174, 692.86953, 18.70196, -3.44922, -0.59529
 1.15542, -1.06174, 691.81496, 18.74117, -3.48886, -0.66532
 1.51094, -1.32717, 692.51809, 18.74117, -3.44922, -0.57778
 1.42206, -1.41565, 692.86953, 18.54513, -3.25098, -0.68283
 1.15542, -1.23869, 691.46340, 18.66275, -3.56815, -0.59529
 1.06654, -1.06174, 692.51809, 18.58434, -3.48886, -0.61280
 1.15542, -1.15022, 693.57265, 18.62354, -3.48886, -0.64781
 1.24430, -0.88478, 690.05727, 18.58434, -3.36992, -0.61280
 1.33318, -1.41565, 690.05727, 18.54513, -3.40957, -0.59529
 1.06654, -1.68108, 692.86953, 18.50592, -3.40957, -0.52526
 1.24430, -1.41565, 691.46340, 18.58434, -3.29063, -0.52526
 1.24430, -1.32717, 691.46340, 18.62354, -3.33028, -0.57778
 0.79991, -1.41565, 689.70583, 18.66275, -3.33028, -0.57778
 1.06654, -1.23869, 690.76040, 18.54513, -3.44922, -0.59529
 1.24430, -1.32717, 692.16652, 18.78037, -3.29063, -0.56027
 1.15542, -1.23869, 689.70583, 18.38830, -3.25098, -0.54276
 0.97766, -1.59261, 689.00271, 18.58434, -3.25098, -0.57778
 0.97766, -1.68108, 690.76040, 18.42751, -3.33028, -0.64781
 0.79991, -1.94652, 691.81496, 18.34909, -3.40957, -0.63031
 0.79991, -1.76956, 691.81496, 18.34909, -3.21134, -0.59529
 0.88879, -1.76956, 691.11196, 18.38830, -3.36992, -0.64781
 0.97766, -1.76956, 690.76040, 18.27068, -3.21134, -0.68283
 1.24430, -2.12347, 690.40883, 18.38830, -3.21134, -0.66532
 1.33318, -1.76956, 691.11196, 18.34909, -3.29063, -0.64781
 0.97766, -1.85804, 691.81496, 18.38830, -3.25098, -0.63031
 0.71103, -2.56586, 691.11196, 18.30988, -3.25098, -0.61280
 0.53327, -1.94652, 690.40883, 18.19226, -3.21134, -0.68283
 0.97766, -2.12347, 689.35427, 18.27068, -3.13205, -0.63031
 0.79991, -1.68108, 691.11196, 18.23147, -3.33028, -0.61280
 1.15542, -2.21195, 691.11196, 18.34909, -3.21134, -0.70034
 0.62215, -2.38891, 689.35427, 18.07464, -3.17169, -0.66532
 0.62215, -2.65434, 690.40883, 17.95702, -3.13205, -0.64781
 0.00000, -2.65434, 687.24502, 17.95702, -3.13205, -0.63031
 0.44439, -2.38891, 689.35427, 18.11385, -3.09240, -0.70034
 0.44439, -1.50413, 689.70583, 17.95702, -3.09240, -0.66532
 0.53327, -2.21195, 689.00271, 17.83939, -3.09240, -0.73536
 0.35551, -2.30043, 689.35427, 18.03543, -2.93382, -0.73536
 0.71103, -2.03500, 689.35427, 18.03543, -3.17169, -0.68283
 0.26664, -2.38891, 689.35427, 17.80019, -3.05275, -0.70034
 0.08888, -2.21195, 690.05727, 18.15305, -2.97346, -0.64781
 0.17776, -1.94652, 690.05727, 17.87860, -2.97346, -0.75287
 0.26664, -2.21195, 688.65114, 17.87860, -3.09240, -0.66532
 0.26664, -2.38891, 687.94814, 17.87860, -2.97346, -0.73536
 0.08888, -2.65434, 687.94814, 17.87860, -3.01311, -0.73536
 0.08888, -2.56586, 689.35427, 17.91781, -2.93382, -0.77037
-0.08888, -2.74282, 689.00271, 17.80019, -3.05275, -0.77037
-0.17776, -2.83130, 687.59658, 17.87860, -2.97346, -0.71785
 0.08888, -3.00826, 687.59658, 17.76098, -2.81488, -0.82290
 0.00000, -2.83130, 688.65114, 17.56494, -2.85452, -0.80539
-0.08888, -2.47739, 687.94814, 17.68256, -2.69594, -0.78788
 0.08888, -3.36217, 688.29970, 17.80019, -2.65629, -0.75287
-0.44439, -2.56586, 687.59658, 17.56494, -2.77523, -0.87543
 0.08888, -2.74282, 689.00271, 17.76098, -2.61665, -0.85792
 0.26664, -3.00826, 686.54201, 17.48653, -2.61665, -0.85792
