Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-3.91066, -3.18521, 690.76040, -17.76098,  1.62549, -0.57778
-4.26617, -3.62760, 690.05727, -17.76098,  1.66514, -0.52526
-3.91066, -3.36217, 691.11196, -17.52573,  1.50655, -0.49024
-4.53281, -3.36217, 690.76040, -17.68256,  1.54620, -0.61280
-3.91066, -3.62760, 690.40883, -17.72177,  1.70478, -0.61280
-3.91066, -3.80456, 689.35427, -17.76098,  1.74443, -0.61280
-4.35505, -3.27369, 689.70583, -17.68256,  1.62549, -0.61280
-3.99954, -3.80456, 690.40883, -17.72177,  1.70478, -0.64781
-3.91066, -3.36217, 689.70583, -17.64336,  1.50655, -0.56027
-4.17730, -3.71608, 690.76040, -17.76098,  1.74443, -0.63031
-4.08842, -3.89304, 689.70583, -17.56494,  1.58585, -0.56027
-4.08842, -3.62760, 690.76040, -17.52573,  1.58585, -0.54276
-4.35505, -3.71608, 690.76040, -17.52573,  1.70478, -0.56027
-4.26617, -3.53912, 689.35427, -17.48653,  1.54620, -0.59529
-4.08842, -3.36217, 690.76040, -17.56494,  1.62549, -0.61280
-4.17730, -3.71608, 689.70583, -17.72177,  1.54620, -0.59529
-4.08842, -3.53912, 690.76040, -17.52573,  1.66514, -0.52526
-3.99954, -3.89304, 690.05727, -17.48653,  1.66514, -0.52526
-3.99954, -3.09673, 690.05727, -17.40811,  1.46691, -0.64781
-4.44393, -3.53912, 690.05727, -17.40811,  1.62549, -0.63031
-3.91066, -3.53912, 689.70583, -17.72177,  1.62549, -0.56027
-3.82178, -3.45065, 689.70583, -17.44732,  1.54620, -0.54276
-4.53281, -3.18521, 690.05727, -17.32970,  1.54620, -0.49024
-3.99954, -3.36217, 690.05727, -17.32970,  1.82372, -0.61280
-3.99954, -3.09673, 689.70583, -17.32970,  1.74443, -0.54276
-4.26617, -3.36217, 690.05727, -17.48653,  1.42726, -0.64781
-3.91066, -3.00826, 689.00271, -17.52573,  1.66514, -0.54276
-4.44393, -3.36217, 691.11196, -17.32970,  1.74443, -0.49024
-3.99954, -3.62760, 689.00271, -17.32970,  1.58585, -0.56027
-4.08842, -3.36217, 688.29970, -17.44732,  1.86337, -0.52526
-3.82178, -3.53912, 690.76040, -17.29049,  1.70478, -0.56027
-3.73290, -3.27369, 689.70583, -17.40811,  1.74443, -0.43771
-3.99954, -3.27369, 688.29970, -17.09445,  1.50655, -0.52526
-4.26617, -3.53912, 691.11196, -17.21207,  1.62549, -0.56027
-4.35505, -3.09673, 688.29970, -17.13366,  1.50655, -0.52526
-4.17730, -3.18521, 688.65114, -17.36890,  1.54620, -0.52526
-4.26617, -3.09673, 690.76040, -17.29049,  1.50655, -0.50775
-3.91066, -2.83130, 690.05727, -17.21207,  1.78408, -0.57778
-3.99954, -3.00826, 690.76040, -17.21207,  1.58585, -0.52526
-3.82178, -2.65434, 689.00271, -17.25128,  1.70478, -0.49024
-3.64402, -2.83130, 689.35427, -17.32970,  1.34797, -0.49024
-3.73290, -3.18521, 689.35427, -17.13366,  1.58585, -0.43771
-3.99954, -3.00826, 688.65114, -17.25128,  1.70478, -0.50775
-3.91066, -3.09673, 688.65114, -17.05525,  1.46691, -0.45522
-3.91066, -2.65434, 687.59658, -17.21207,  1.54620, -0.49024
-3.73290, -3.27369, 687.59658, -17.09445,  1.50655, -0.42020
-3.82178, -3.00826, 689.70583, -16.85921,  1.42726, -0.47273
-3.99954, -3.00826, 687.59658, -17.13366,  1.62549, -0.50775
-3.82178, -2.83130, 689.35427, -17.09445,  1.62549, -0.43771
-3.55515, -2.65434, 688.65114, -17.09445,  1.62549, -0.47273
-4.17730, -3.00826, 687.59658, -16.97683,  1.62549, -0.43771
-3.82178, -2.83130, 689.70583, -17.01604,  1.50655, -0.50775
-3.73290, -3.27369, 688.65114, -17.05525,  1.54620, -0.54276
-3.82178, -3.45065, 688.29970, -16.93762,  1.54620, -0.36768
-3.73290, -2.56586, 689.70583, -17.09445,  1.50655, -0.45522
-3.46627, -2.83130, 687.94814, -16.74159,  1.58585, -0.47273
-3.55515, -2.65434, 689.00271, -16.93762,  1.62549, -0.47273
-3.91066, -3.18521, 687.94814, -16.85921,  1.50655, -0.33266
-3.73290, -2.91978, 690.05727, -16.82000,  1.50655, -0.42020
-3.82178, -2.74282, 688.65114, -16.78079,  1.42726, -0.45522
-3.82178, -2.65434, 689.70583, -16.97683,  1.50655, -0.42020
-3.37739, -2.83130, 689.70583, -16.82000,  1.70478, -0.42020
-3.82178, -3.09673, 688.65114, -16.89842,  1.58585, -0.40270
-3.73290, -2.74282, 686.54201, -16.74159,  1.50655, -0.43771
-3.91066, -2.74282, 689.00271, -16.85921,  1.62549, -0.43771
-3.11075, -3.18521, 689.00271, -16.70238,  1.54620, -0.43771
-3.37739, -2.83130, 689.35427, -16.82000,  1.50655, -0.38519
-3.46627, -2.91978, 687.24502, -16.74159,  1.38762, -0.38519
-3.37739, -2.38891, 688.65114, -16.82000,  1.58585, -0.38519
-3.91066, -2.74282, 689.00271, -16.54555,  1.50655, -0.36768
-3.55515, -3.18521, 688.29970, -16.62396,  1.42726, -0.33266
-3.37739, -2.91978, 686.54201, -16.66317,  1.50655, -0.35017
-3.73290, -3.09673, 689.00271, -16.62396,  1.66514, -0.36768
-3.55515, -3.00826, 688.29970, -16.62396,  1.62549, -0.33266
-3.64402, -2.83130, 687.94814, -16.54555,  1.66514, -0.29764
-3.64402, -2.83130, 688.65114, -16.58476,  1.42726, -0.35017
-3.46627, -2.91978, 686.89357, -16.42793,  1.46691, -0.35017
-3.11075, -2.91978, 689.00271, -16.46713,  1.62549, -0.35017
-3.73290, -2.91978, 687.94814, -16.54555,  1.50655, -0.35017
-3.64402, -2.83130, 688.65114, -16.54555,  1.46691, -0.29764
-3.28851, -2.83130, 688.29970, -16.46713,  1.42726, -0.38519
-3.46627, -2.74282, 687.24502, -16.46713,  1.42726, -0.40270
-3.91066, -2.65434, 688.65114, -16.54555,  1.54620, -0.29764
-3.28851, -2.91978, 689.70583, -16.46713,  1.50655, -0.35017
-3.37739, -3.09673, 689.35427, -16.42793,  1.46691, -0.35017
-3.55515, -2.65434, 687.59658, -16.62396,  1.34797, -0.36768
-3.37739, -2.65434, 687.94814, -16.31030,  1.54620, -0.33266
-3.82178, -3.00826, 686.89357, -16.54555,  1.66514, -0.31515
-3.46627, -2.65434, 688.65114, -16.31030,  1.66514, -0.26263
-3.55515, -2.65434, 690.40883, -16.38872,  1.54620, -0.31515
-3.46627, -2.38891, 689.00271, -16.50634,  1.46691, -0.28014
-3.73290, -2.91978, 689.00271, -16.23189,  1.74443, -0.36768
-3.55515, -2.38891, 687.94814, -16.34951,  1.50655, -0.31515
-3.64402, -2.56586, 688.65114, -16.23189,  1.54620, -0.40270
-3.46627, -3.00826, 688.29970, -16.19268,  1.50655, -0.33266
-3.55515, -2.30043, 689.00271, -16.11427,  1.42726, -0.28014
-3.82178, -2.91978, 689.70583, -16.19268,  1.54620, -0.36768
-3.46627, -2.91978, 689.00271, -16.23189,  1.50655, -0.26263
-3.28851, -2.47739, 689.00271, -16.23189,  1.54620, -0.31515
-3.02187, -2.65434, 689.35427, -16.19268,  1.54620, -0.33266
-3.37739, -2.91978, 689.70583, -16.27110,  1.58585, -0.24512
-3.55515, -2.83130, 688.29970, -15.99664,  1.54620, -0.28014
-3.73290, -2.91978, 690.40883, -16.11427,  1.50655, -0.26263
-3.46627, -3.00826, 689.00271, -16.11427,  1.70478, -0.36768
-3.64402, -2.56586, 691.46340, -15.95744,  1.34797, -0.31515
-3.28851, -2.74282, 690.40883, -16.07506,  1.58585, -0.33266
-3.37739, -2.56586, 688.65114, -15.91823,  1.38762, -0.24512
-3.82178, -2.74282, 690.05727, -16.07506,  1.62549, -0.33266
-3.55515, -2.83130, 689.70583, -15.87902,  1.58585, -0.33266
-3.73290, -3.00826, 691.46340, -15.68298,  1.50655, -0.36768
-3.64402, -2.65434, 691.81496, -15.91823,  1.58585, -0.28014
-3.46627, -2.91978, 690.05727, -15.99664,  1.54620, -0.33266
-4.26617, -2.65434, 689.70583, -15.68298,  1.62549, -0.36768
-3.73290, -3.00826, 691.11196, -15.80061,  1.54620, -0.26263
-3.64402, -2.74282, 689.70583, -15.80061,  1.62549, -0.38519
-3.82178, -3.18521, 689.00271, -15.76140,  1.54620, -0.29764
-3.73290, -2.83130, 690.76040, -15.68298,  1.54620, -0.28014
-3.91066, -3.00826, 690.76040, -15.80061,  1.42726, -0.24512
-3.91066, -2.91978, 692.86953, -15.72219,  1.46691, -0.26263
-3.99954, -2.83130, 692.16652, -15.68298,  1.38762, -0.38519
-3.99954, -2.56586, 691.81496, -15.76140,  1.46691, -0.31515
-3.99954, -2.03500, 691.46340, -15.56536,  1.30832, -0.29764
-3.73290, -2.47739, 691.81496, -15.60457,  1.30832, -0.28014
-3.91066, -2.30043, 692.51809, -15.52615,  1.38762, -0.35017
-3.73290, -2.21195, 693.22109, -15.52615,  1.38762, -0.28014
-4.17730, -2.38891, 692.86953, -15.52615,  1.42726, -0.29764
-3.99954, -2.56586, 692.16652, -15.44774,  1.38762, -0.19259
-4.35505, -1.85804, 691.81496, -15.33012,  1.34797, -0.24512
-3.99954, -2.21195, 691.46340, -15.25170,  1.26868, -0.24512
-4.35505, -2.65434, 691.81496, -15.33012,  1.38762, -0.26263
-4.08842, -2.12347, 691.46340, -15.17329,  1.38762, -0.21010
-3.91066, -2.30043, 691.11196, -15.17329,  1.18938, -0.24512
-3.99954, -2.56586, 691.81496, -15.29091,  1.14974, -0.28014
-4.17730, -2.47739, 690.40883, -15.21249,  1.14974, -0.33266
-4.08842, -1.85804, 691.11196, -15.21249,  0.95151, -0.29764
-4.44393, -2.65434, 692.51809, -15.29091,  0.95151, -0.28014
-4.26617, -2.38891, 691.81496, -15.17329,  1.22903, -0.26263
-3.99954, -2.65434, 692.16652, -15.13408,  1.07045, -0.28014
-4.35505, -2.47739, 692.16652, -15.05566,  0.95151, -0.29764
-3.73290, -2.56586, 692.86953, -15.05566,  0.95151, -0.31515
-3.55515, -2.30043, 692.16652, -15.33012,  0.91186, -0.29764
-3.99954, -2.56586, 692.51809, -15.09487,  0.71363, -0.26263
-4.08842, -2.30043, 692.86953, -15.01646,  0.87222, -0.29764
-4.17730, -2.12347, 692.16652, -15.01646,  0.87222, -0.33266
-3.99954, -2.21195, 691.81496, -14.93804,  0.79292, -0.19259
-3.64402, -2.38891, 693.22109, -14.97725,  0.75328, -0.26263
-3.55515, -2.21195, 692.51809, -14.85963,  0.47575, -0.26263
-3.28851, -2.21195, 693.22109, -14.97725,  0.75328, -0.29764
-3.46627, -2.38891, 693.57265, -14.89883,  0.63434, -0.14007
-3.64402, -2.47739, 693.92421, -14.78121,  0.51540, -0.24512
-3.19963, -2.38891, 693.22109, -14.66359,  0.55505, -0.21010
-3.37739, -1.94652, 692.16652, -14.85963,  0.43611, -0.17509
-3.28851, -2.12347, 692.16652, -14.70280,  0.35682, -0.22761
-3.37739, -2.38891, 693.22109, -14.54597,  0.39646, -0.24512
-3.11075, -1.76956, 692.51809, -14.78121,  0.47575, -0.24512
-2.93299, -1.85804, 694.27566, -14.70280,  0.47575, -0.24512
-3.37739, -2.21195, 693.57265, -14.66359,  0.27752, -0.19259
-3.11075, -2.30043, 693.22109, -14.70280,  0.31717, -0.21010
-3.28851, -2.47739, 692.16652, -14.58518,  0.11894, -0.21010
-3.02187, -1.94652, 693.57265, -14.38914,  0.19823, -0.21010
-3.28851, -1.94652, 693.57265, -14.58518, -0.03965, -0.21010
-3.02187, -2.21195, 694.27566, -14.54597,  0.27752, -0.26263
-3.11075, -2.21195, 692.16652, -14.27152,  0.11894, -0.15758
-3.11075, -2.21195, 692.86953, -14.42835,  0.15858, -0.14007
-2.75524, -2.30043, 693.57265, -14.38914,  0.00000, -0.24512
-3.11075, -2.12347, 693.22109, -14.19310, -0.11894, -0.17509
-2.84412, -1.94652, 693.22109, -14.38914,  0.00000, -0.14007
-2.57748, -1.85804, 692.51809, -14.23231, -0.15858, -0.22761
-2.84412, -2.12347, 692.86953, -14.11469, -0.11894, -0.22761
-2.66636, -1.76956, 694.62722, -14.23231, -0.03965, -0.19259
-2.93299, -1.94652, 694.27566, -14.23231, -0.11894, -0.22761
-2.75524, -1.76956, 693.92421, -13.99706, -0.07929, -0.26263
-2.66636, -1.15022, 694.97878, -14.11469,  0.00000, -0.19259
-2.48860, -1.85804, 693.92421, -13.99706, -0.35682, -0.17509
-2.48860, -1.76956, 693.92421, -13.95786, -0.15858, -0.17509
-2.39972, -2.12347, 694.27566, -13.84023, -0.27752, -0.14007
-2.48860, -1.85804, 692.86953, -13.84023, -0.07929, -0.12256
-2.22197, -1.50413, 693.92421, -13.87944, -0.35682, -0.17509
-2.22197, -1.50413, 694.27566, -13.84023, -0.35682, -0.19259
-2.04421, -1.85804, 693.22109, -13.64420, -0.39646, -0.10505
-2.57748, -1.15022, 693.92421, -13.76182, -0.51540, -0.19259
-2.04421, -1.59261, 693.92421, -13.64420, -0.51540, -0.14007
-2.57748, -1.50413, 694.62722, -13.64420, -0.63434, -0.19259
-2.04421, -1.41565, 694.62722, -13.72261, -0.31717, -0.21010
-2.04421, -1.23869, 692.86953, -13.52657, -0.47575, -0.14007
-1.95533, -0.97326, 693.22109, -13.44816, -0.71363, -0.14007
-1.86645, -1.41565, 694.62722, -13.36974, -0.71363, -0.12256
-1.59982, -1.15022, 693.22109, -13.36974, -0.67398, -0.12256
-1.86645, -1.23869, 694.62722, -13.48737, -0.75328, -0.12256
-1.86645, -0.79630, 693.92421, -13.40895, -0.67398, -0.14007
-2.13309, -1.06174, 694.27566, -13.36974, -0.63434, -0.08754
-1.59982, -0.88478, 692.86953, -13.36974, -0.71363, -0.19259
-1.42206, -0.88478, 694.27566, -13.13450, -0.79292, -0.07003
-1.68869, -0.53087, 694.62722, -12.97767, -0.83257, -0.10505
-1.95533, -0.53087, 692.16652, -12.93846, -0.79292, -0.12256
-1.59982, -0.79630, 692.51809, -13.01688, -0.83257, -0.03502
-1.95533, -0.79630, 693.22109, -13.09529, -0.95151, -0.10505
-1.42206, -0.79630, 693.92421, -12.93846, -0.75328, -0.15758
-1.59982, -0.53087, 692.51809, -12.93846, -0.95151, -0.12256
-1.42206, -1.06174, 693.22109, -12.86005, -0.91186, -0.08754
-1.77757, -0.08848, 693.22109, -13.01688, -0.99115, -0.03502
-0.88879, -0.26543, 692.16652, -12.97767, -0.99115, -0.07003
-1.42206, -0.26543, 693.22109, -12.82084, -1.03080, -0.17509
-1.24430, -0.35391, 693.92421, -12.78163, -0.95151, -0.10505
-1.24430, -0.70782, 690.76040, -12.86005, -0.99115, -0.08754
-1.42206, -0.35391, 694.27566, -12.66401, -1.03080, -0.15758
-1.59982, -0.35391, 692.51809, -12.74242, -1.18938, -0.14007
-1.42206, -0.17696, 692.51809, -12.62480, -0.99115, -0.14007
-1.33318, -0.17696, 691.46340, -12.58559, -1.18938, -0.08754
-1.33318, -0.17696, 691.46340, -12.66401, -1.22903, -0.07003
-1.06654, -0.17696, 690.76040, -12.66401, -1.03080, -0.07003
-1.33318,  0.08848, 691.46340, -12.35035, -1.26868, -0.12256
-0.97766, -0.08848, 691.46340, -12.50718, -1.03080, -0.03502
